"profile";"period";"myCount";"description"
"1";"30";"1";"question"
"2";"30";"3";"question"
"3";"30";"1";"question"
"4";"30";"1";"question"
"1";"31";"1";"question"
"2";"31";"1";"question"
"3";"31";"1";"question"
"4";"31";"1";"question"
"1";"32";"1";"question"
"2";"32";"1";"question"
"3";"32";"1";"question"
"4";"32";"3";"question"
"1";"33";"1";"question"
"2";"33";"1";"question"
"3";"33";"1";"question"
"4";"33";"1";"question"
"1";"34";"2";"question"
"2";"34";"1";"question"
"3";"34";"1";"question"
"4";"34";"1";"question"
"1";"35";"1";"question"
"2";"35";"1";"question"
"3";"35";"1";"question"
"4";"35";"1";"question"
"1";"36";"1";"question"
"2";"36";"1";"question"
"3";"36";"1";"question"
"4";"36";"1";"question"
"1";"37";"1";"question"
"2";"37";"1";"question"
"3";"37";"1";"question"
"4";"37";"2";"question"
"1";"38";"2";"question"
"2";"38";"1";"question"
"3";"38";"4";"question"
"4";"38";"1";"question"
"1";"39";"1";"question"
"2";"39";"1";"question"
"3";"39";"1";"question"
"4";"39";"4";"question"
"1";"40";"1";"question"
"2";"40";"1";"question"
"3";"40";"1";"question"
"4";"40";"1";"question"
"1";"41";"1";"question"
"2";"41";"1";"question"
"3";"41";"1";"question"
"4";"41";"1";"question"
"1";"42";"1";"question"
"2";"42";"1";"question"
"3";"42";"1";"question"
"4";"42";"13";"question"
"1";"43";"1";"question"
"2";"43";"1";"question"
"3";"43";"1";"question"
"4";"43";"1";"question"
"1";"44";"1";"question"
"2";"44";"1";"question"
"3";"44";"1";"question"
"4";"44";"2";"question"
"1";"45";"1";"question"
"2";"45";"1";"question"
"3";"45";"1";"question"
"4";"45";"4";"question"
"1";"46";"1";"question"
"2";"46";"1";"question"
"3";"46";"1";"question"
"4";"46";"1";"question"
"1";"47";"1";"question"
"2";"47";"1";"question"
"3";"47";"1";"question"
"4";"47";"7";"question"
"1";"48";"1";"question"
"2";"48";"1";"question"
"3";"48";"1";"question"
"4";"48";"1";"question"
"1";"49";"1";"question"
"2";"49";"1";"question"
"3";"49";"1";"question"
"4";"49";"2";"question"
"1";"50";"1";"question"
"2";"50";"1";"question"
"3";"50";"1";"question"
"4";"50";"1";"question"
"1";"51";"1";"question"
"2";"51";"1";"question"
"3";"51";"1";"question"
"4";"51";"6";"question"
"1";"52";"3";"question"
"2";"52";"1";"question"
"3";"52";"1";"question"
"4";"52";"1";"question"
"1";"53";"2";"question"
"2";"53";"1";"question"
"3";"53";"1";"question"
"4";"53";"2";"question"
"1";"54";"1";"question"
"2";"54";"1";"question"
"3";"54";"1";"question"
"4";"54";"3";"question"
"1";"55";"1";"question"
"2";"55";"1";"question"
"3";"55";"1";"question"
"4";"55";"1";"question"
"1";"56";"1";"question"
"2";"56";"1";"question"
"3";"56";"1";"question"
"4";"56";"1";"question"
"1";"57";"1";"question"
"2";"57";"1";"question"
"3";"57";"1";"question"
"4";"57";"1";"question"
"1";"58";"2";"question"
"2";"58";"1";"question"
"3";"58";"3";"question"
"4";"58";"1";"question"
"1";"59";"1";"question"
"2";"59";"1";"question"
"3";"59";"1";"question"
"4";"59";"1";"question"
"1";"60";"1";"question"
"2";"60";"1";"question"
"3";"60";"1";"question"
"4";"60";"1";"question"
"1";"61";"2";"question"
"2";"61";"1";"question"
"3";"61";"1";"question"
"4";"61";"1";"question"
"1";"62";"1";"question"
"2";"62";"1";"question"
"3";"62";"1";"question"
"4";"62";"1";"question"
"1";"63";"1";"question"
"2";"63";"1";"question"
"3";"63";"1";"question"
"4";"63";"4";"question"
"1";"64";"1";"question"
"2";"64";"1";"question"
"3";"64";"1";"question"
"4";"64";"2";"question"
"1";"65";"1";"question"
"2";"65";"1";"question"
"3";"65";"1";"question"
"4";"65";"1";"question"
"1";"66";"1";"question"
"2";"66";"1";"question"
"3";"66";"1";"question"
"4";"66";"1";"question"
"1";"67";"2";"question"
"2";"67";"1";"question"
"3";"67";"1";"question"
"4";"67";"3";"question"
"1";"68";"1";"question"
"2";"68";"1";"question"
"3";"68";"1";"question"
"4";"68";"1";"question"
"1";"69";"1";"question"
"2";"69";"1";"question"
"3";"69";"1";"question"
"4";"69";"1";"question"
"1";"70";"1";"question"
"2";"70";"1";"question"
"3";"70";"3";"question"
"4";"70";"1";"question"
"1";"71";"1";"question"
"2";"71";"1";"question"
"3";"71";"3";"question"
"4";"71";"3";"question"
"1";"72";"1";"question"
"2";"72";"1";"question"
"3";"72";"1";"question"
"4";"72";"1";"question"
