"id";"reputation";"id_community";"profile";"questions";"answers";"comments"
"28085";"1";"9";"1";"0";"0";"0"
"28092";"1";"9";"1";"0";"0";"0"
"28095";"1";"9";"1";"0";"0";"0"
"28105";"1";"9";"1";"0";"0";"0"
"28116";"1";"9";"1";"0";"0";"0"
"28123";"1";"9";"1";"0";"0";"0"
"28134";"1";"9";"1";"0";"0";"0"
"28138";"1";"9";"1";"0";"0";"0"
"28146";"1";"9";"1";"0";"0";"0"
"28153";"1";"9";"1";"0";"0";"0"
"28157";"1";"9";"1";"0";"0";"0"
"28174";"1";"9";"1";"0";"0";"0"
"28178";"1";"9";"1";"0";"0";"0"
"28189";"1";"9";"1";"0";"0";"0"
"28192";"1";"9";"1";"0";"0";"0"
"28197";"1";"9";"1";"0";"0";"0"
"28219";"1";"9";"1";"0";"0";"0"
"28220";"1";"9";"1";"0";"0";"0"
"28222";"1";"9";"1";"0";"0";"0"
"28225";"1";"9";"1";"0";"0";"0"
"28228";"1";"9";"1";"0";"0";"0"
"28241";"1";"9";"1";"0";"0";"0"
"28246";"1";"9";"1";"0";"0";"0"
"28247";"1";"9";"1";"0";"0";"0"
"28248";"1";"9";"1";"0";"0";"0"
"28281";"1";"9";"1";"0";"0";"0"
"28286";"1";"9";"1";"0";"0";"0"
"28287";"1";"9";"1";"0";"0";"0"
"28288";"1";"9";"1";"0";"0";"0"
"28290";"1";"9";"1";"0";"0";"0"
"28291";"1";"9";"1";"0";"0";"0"
"28293";"1";"9";"1";"0";"0";"0"
"28302";"1";"9";"1";"0";"0";"0"
"28309";"1";"9";"1";"0";"0";"0"
"28328";"1";"9";"1";"0";"0";"0"
"28341";"1";"9";"1";"0";"0";"0"
"28342";"1";"9";"1";"0";"0";"0"
"28346";"1";"9";"1";"0";"0";"0"
"28351";"1";"9";"1";"0";"0";"0"
"28353";"1";"9";"1";"0";"0";"0"
"28360";"1";"9";"1";"0";"0";"0"
"28361";"1";"9";"1";"0";"0";"0"
"28365";"1";"9";"1";"0";"0";"0"
"28383";"1";"9";"1";"0";"0";"0"
"28397";"1";"9";"1";"0";"0";"0"
"28399";"1";"9";"1";"0";"0";"0"
"28415";"1";"9";"1";"0";"0";"0"
"28423";"1";"9";"1";"0";"0";"0"
"28426";"1";"9";"1";"0";"0";"0"
"28428";"1";"9";"1";"0";"0";"0"
"28440";"1";"9";"1";"0";"0";"0"
"28449";"1";"9";"1";"0";"0";"0"
"28451";"1";"9";"1";"0";"0";"0"
"28456";"1";"9";"1";"0";"0";"0"
"28464";"1";"9";"1";"0";"0";"0"
"28474";"1";"9";"1";"0";"0";"0"
"28476";"1";"9";"1";"0";"0";"0"
"28486";"1";"9";"1";"0";"0";"0"
"28489";"1";"9";"1";"0";"0";"0"
"28491";"1";"9";"1";"0";"0";"0"
"28501";"1";"9";"1";"0";"0";"0"
"28504";"1";"9";"1";"0";"0";"0"
