"userId";"reputation";"tag1";"profile_1";"profile_2";"totalPost"
"28087";"126";"genetics";"1";"4";"3"
"28087";"126";"vision";"1";"4";"1"
"28090";"7295";"abiogenesis";"4";"4";"2"
"28090";"7295";"antibody";"4";"4";"1"
"28090";"7295";"bacteriology";"4";"4";"3"
"28090";"7295";"biochemistry";"4";"4";"50"
"28090";"7295";"bioenergetics";"4";"4";"1"
"28090";"7295";"bioinformatics";"4";"4";"16"
"28090";"7295";"bioinorganic-chemistry";"4";"4";"1"
"28090";"7295";"biophysics";"4";"4";"1"
"28090";"7295";"botany";"4";"4";"2"
"28090";"7295";"brain";"4";"4";"1"
"28090";"7295";"cancer";"4";"4";"2"
"28090";"7295";"cell-biology";"4";"4";"4"
"28090";"7295";"cell-culture";"4";"4";"2"
"28090";"7295";"cellular-respiration";"4";"4";"1"
"28090";"7295";"chromosome";"4";"4";"1"
"28090";"7295";"dna";"4";"4";"30"
"28090";"7295";"dna-damage";"4";"4";"1"
"28090";"7295";"dna-isolation";"4";"4";"1"
"28090";"7295";"dna-sequencing";"4";"4";"1"
"28090";"7295";"ecoli";"4";"4";"1"
"28090";"7295";"energy";"4";"4";"1"
"28090";"7295";"enzyme-kinetics";"4";"4";"2"
"28090";"7295";"ethology";"4";"4";"1"
"28090";"7295";"evolution";"4";"4";"15"
"28090";"7295";"eyes";"4";"4";"1"
"28090";"7295";"food";"4";"4";"2"
"28090";"7295";"gel-electrophoresis";"4";"4";"12"
"28090";"7295";"gene-expression";"4";"4";"2"
"28090";"7295";"genetics";"4";"4";"21"
"28090";"7295";"hematology";"4";"4";"2"
"28090";"7295";"history";"4";"4";"1"
"28090";"7295";"homework";"4";"4";"1"
"28090";"7295";"human-biology";"4";"4";"20"
"28090";"7295";"immunology";"4";"4";"1"
"28090";"7295";"lab-reagents";"4";"4";"1"
"28090";"7295";"lab-techniques";"4";"4";"5"
"28090";"7295";"literature";"4";"4";"1"
"28090";"7295";"mathematical-models";"4";"4";"1"
"28090";"7295";"measurement";"4";"4";"1"
"28090";"7295";"medicine";"4";"4";"2"
"28090";"7295";"microbiology";"4";"4";"5"
"28090";"7295";"minipreps";"4";"4";"1"
"28090";"7295";"molecular-biology";"4";"4";"33"
"28090";"7295";"molecular-genetics";"4";"4";"2"
"28090";"7295";"neuroscience";"4";"4";"5"
"28090";"7295";"organic-chemistry";"4";"4";"1"
"28090";"7295";"pathology";"4";"4";"1"
"28090";"7295";"pcr";"4";"4";"1"
"28090";"7295";"pdb";"4";"4";"1"
"28090";"7295";"pharmacology";"4";"4";"3"
"28090";"7295";"physiology";"4";"4";"1"
"28090";"7295";"population-genetics";"4";"4";"1"
"28090";"7295";"proteins";"4";"4";"11"
"28090";"7295";"protocol";"4";"4";"1"
"28090";"7295";"rna";"4";"4";"15"
"28090";"7295";"safety";"4";"4";"1"
"28090";"7295";"staining";"4";"4";"2"
"28090";"7295";"structural-biology";"4";"4";"3"
"28090";"7295";"synthetic-biology";"4";"4";"1"
"28090";"7295";"t7-promoter";"4";"4";"3"
"28090";"7295";"virology";"4";"4";"2"
"28090";"7295";"virus";"4";"4";"1"
"28090";"7295";"zoology";"4";"4";"3"
"28093";"897";"bioinformatics";"4";"4";"1"
"28093";"897";"evolution";"4";"4";"3"
"28093";"897";"human-biology";"4";"4";"3"
"28093";"897";"yeast";"4";"4";"4"
"28096";"1975";"alcohol";"4";"4";"1"
"28096";"1975";"biochemistry";"4";"4";"2"
